2026.04.29 19:40:03 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.04.29 19:40:06 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:40:11 WARN  no build tool detected in workspace 'C:\Users\elang\OneDrive\Desktop\DSA_LeetCode'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2026.04.29 19:40:12 WARN  Build server is not auto-connectable.
2026.04.29 19:40:12 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:40:12 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-45\RansomNote.java
2026.04.29 19:40:12 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-22\PalindromeNumber.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-23\SearchRange.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-25\DivideIntegers.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-16\PlusOne.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-15\ContainsDuplicate.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-24\ReverseInteger.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-18\Sqrt.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-19\MaxSubarray.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-17\MissingNumber.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-10\JumpGameII.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-11\HIndex.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-12\ProductExceptSelf.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-47\ReverseString.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-13\LengthOfLastWord.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-06\RotateArray.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-07\BestTimeToBuyAndSellStock.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-14\FizzBuzz.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-08\BestTimeToBuyAndSellStockII.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-09\JumpGame.java
2026.04.29 19:40:13 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-03\RemoveDuplicates.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-27\RomanToInteger.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-37\SortColors.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-01\MergeSortedArray.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-38\MaximumAverageSubarrayI.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-35\IntersectionOfTwoArrays.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-36\ContainerWithMostWater.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-20\PowerOfTwo.java
2026.04.29 19:40:14 WARN  no build target for: C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-05\MajorityElement.java
